"Country";"Frequency Range";"Allocations";"Applications"
"SI";"0 - 10 kHz";" ";"#000000"
"SI";"150 - 280 kHz";"LW radio";"#0000FF"
"SI";"531 - 1602 kHz";"MW radio";"#0000FF"
"SI";"1810 - 2000 kHz";"160m HAM";"#DEB887"
"SI";"2173 - 2190 kHz";"Marine";"#000080"
"SI";"2300 - 2495 kHz";"120m SW radio";"#0000FF"
"SI";"3200 - 3400 kHz";"90m SW radio";"#0000FF"
"SI";"3500 - 3800 kHz";"80m HAM";"#DEB887"
"SI";"3950 - 4000 kHz";"75m SW radio";"#0000FF"
"SI";"4750 - 4995 kHz";"60m SW radio";"#0000FF"
"SI";"5351 - 5366 kHz";"60m HAM";"#DEB887"
"SI";"5900 - 6200 kHz";"49m SW radio";"#0000FF"
"SI";"6200 - 6525 kHz";"Marine";"#000080"
"SI";"6765 - 6795 kHz";"ISM";"#DC143C"
"SI";"7000 - 7200 kHz";"40m HAM";"#DEB887"
"SI";"7200 - 7450 kHz";"41m SW radio";"#0000FF"
"SI";"8000 - 8400 kHz";"RFID EAS";"#A9A9A9"
"SI";"9400 - 9900 kHz";"31m SW radio";"#0000FF"
"SI";"10100 - 10150 kHz";"30m HAM";"#DEB887"
"SI";"11600 - 12100 kHz";"25m SW radio";"#0000FF"
"SI";"13410 - 13550 kHz";"RC";"#B8860B"
"SI";"13550 - 13570 kHz";"RFID";"#ADFF2F"
"SI";"13570 - 13870 kHz";"22m SW radio";"#0000FF"
"SI";"14000 - 14350 kHz";"20m HAM";"#DEB887"
"SI";"15100 - 15830 kHz";"19m SW radio";"#0000FF"
"SI";"17480 - 17900 kHz";"16m SW radio";"#0000FF"
"SI";"18068 - 18168 kHz";"17m HAM";"#DEB887"
"SI";"18900 - 19020 kHz";"15m SW radio";"#0000FF"
"SI";"21000 - 21450 kHz";"15m HAM";"#DEB887"
"SI";"21450 - 21850 kHz";"13m SW radio";"#0000FF"
"SI";"24890 - 24990 kHz";"12m HAM";"#DEB887"
"SI";"25550 - 25670 kHz";"Radioastronomy";"#E0FFFF"
"SI";"25670 - 26100 kHz";"11m SW radio";"#0000FF"
"SI";"26350 - 27500 kHz";"CB/RC";"#B8860B"
"SI";"27500 - 28000 kHz";"Meteo";"#B0E0E6"
"SI";"28.000 - 29.700 MHz";"10m HAM";"#DEB887"
"SI";"30.010 - 34.995 MHz";"PMR/Phones";"#20B2AA"
"SI";"34.995 - 35.225 MHz";"RC Air";"#B8860B"
"SI";"36.400 - 38.500 MHz";"Mics";"#8FBC8F"
"SI";"39.775 - 40.000 MHz";"Phones";"#556B2F"
"SI";"40.660 - 40.990 MHz";"RC";"#B8860B"
"SI";"44.000 - 46.000 MHz";"PMR";"#20B2AA"
"SI";"48.500 - 50.000 MHz";"TV I";"#4B0082"
"SI";"50.000 - 54.000 MHz";"6m HAM";"#DEB887"
"SI";"68.000 - 74.800 MHz";"PMR";"#20B2AA"
"SI";"74.800 - 75.200 MHz";"ILS/Aviation";"#FF0000"
"SI";"75.200 - 87.500 MHz";"PMR";"#20B2AA"
"SI";"87.500 - 108.000 MHz";"FM radio";"#9400D3"
"SI";"108.000 - 117.975 MHz";"VOR ILS/Aviation";"#FF0000"
"SI";"117.975 - 137.000 MHz";"Air Voice";"#FF0000"
"SI";"137.000 - 138.000 MHz";"Meteor - NOAA/LRPT downlink";"#B0E0E6"
"SI";"138.000 - 144.000 MHz";"Aviation navigation";"#FF0000"
"SI";"144.000 - 146.000 MHz";"2m HAM";"#DEB887"
"SI";"146.000 - 161.962 MHz";"PMR";"#20B2AA"
"SI";"161.962 - 162.037 MHz";"AIS/Boats ID";"#483D8B"
"SI";"162.037 - 169.400 MHz";"PMR";"#20B2AA"
"SI";"169.400 - 174.000 MHz";"PMR/Mics";"#8FBC8F"
"SI";"174.000 - 240.000 MHz";"DAB+";"#FF69B4"
"SI";"328.600 - 335.400 MHz";"ILS/Aviation navigation";"#FF0000"
"SI";"380.000 - 385.000 MHz";"PMR";"#20B2AA"
"SI";"385.000 - 390.000 MHz";"TETRA/uplink";"#FFFF00"
"SI";"395.000 - 400.000 MHz";"TETRA/downlink";"#FFFF00"
"SI";"400.150 - 405.000 MHz";"Weather baloons/downlink";"#B0E0E6"
"SI";"406.000 - 406.100 MHz";"COSPAS SARSAT/uplink";"#B0E0E6"
"SI";"410.000 - 420.000 MHz";"TETRA/uplink";"#FFFF00"
"SI";"420.000 - 430.000 MHz";"TETRA/downlink";"#FFFF00"
"SI";"431.000 - 435.000 MHz";"ISM 433";"#DC143C"
"SI";"435.000 - 451.310 MHz";"PMR DMR repeaters/70cm HAM";"#20B2AA"
"SI";"451.310 - 455.730 MHz";"Flash-OFDM/uplink";"#A9A9A9"
"SI";"455.730 - 461.310 MHz";"PMR DMR";"#20B2AA"
"SI";"461.310 - 465.730 MHz";"Flash-OFDM/downlink";"#A9A9A9"
"SI";"465.730 - 470.000 MHz";"PMR DMR";"#20B2AA"
"SI";"470.000 - 582.000 MHz";"TV IV/DVB-T";"#4B0082"
"SI";"582.000 - 694.000 MHz";"TV V/DVB-T";"#4B0082"
